,clean_text,category
46,"modi govt has done remarkable job making corruption free india ultimate success shall achieved when corrupt are jailed modi govts vision corruptionfree india ensuring that all those who looted the country are now facing the law
via namo app",1.0
47,use this beg for campaign ,0.0
48,with welfare delivery gst ibc and feo place modi can exit psus 2nd term and use that money appoint more judges police forensic labs and fasttrack delivery justice education and healthcare citizens and invest defence india well,1.0
49,this the new india modi trying build with these leaders his party why have live with these deplorable characters ,-1.0
50,"overpromise and underdelivery – that pithy summary the economic outcome the last five years under approach the general election ौीाोै
",1.0
51,not just healing touch india need surgery remove the cancer spread modi and rss,0.0
52,farmers’ welfare about 474 farmers get second installment from next month the centre announced the 75000crore scheme ,0.0
53,mistry man not then why drag modi the nri followers this the man wrong action should taken against him for spreading hatred please don’ have agenda condemning criminal activities sir fyi please,-1.0
54,think you forgot dollar india handled exceptionally well and one the diplomatic shrewdness and achievement why you always undermine modi government you are always prone criticise even without considering other aspects,1.0
55,entrepreneurs are rising india after modi govt created system for them took care their tax concerns and created infra for them incubate well never happened congress you guys just want power sit and shit its simple for you,-1.0
56,nothing else its modi phobia,0.0
57,itna fark  ,0.0
58,once again modi government modi govts efforts last years governance reforms have been institutionalise honesty way that every system and institution designed inculcate well inspire honesty,0.0
59,"all are with you sir namo again jai hind jai modi
muje puri bharat janta par vishwas hai sir aap hamre prime minister honge for our future our country future you must our prime minister again and again bjp",0.0
60,anchor doing canvas against modi not fit for journalism,-1.0
61,slams makers biopic for deliberately using name the credit ,0.0
62,will these channels say modi also scared contests from two seats even propoganda needs little decency,-1.0
63,"
this new india this indias century because has the yuva shakti take great heights modi govt stands firmly with them
via namo app",1.0
64,100 sure sir will inform all family and friends give record numbers vote modi sir and bjp thanks,1.0
65,you will loose your existance election rafel corruption free and scam free all nation know the nature except narendra modi and bjp all party scammer aap nautanki baj,1.0
66,‘concierge’ for super rich makes unusual sight nirav modis hearing via ,1.0
67,’ confused who said that intellectuals should decide modi’ policies the question was which intellectuals sided with modi and similarly there’ those who’ disagree with his policies too where’ the question deciding anything,-1.0
68,asked learn from how treat minority well does want what did minor ,-1.0
69,for new india can vote for shri narendra modi ,1.0
70,"
modi govts years are over just cheating people promises has impacted lot things from the economy the country brotherhood the nation ",0.0
71,"what your logic sir
could you please throw some light the logic behind your tweet that bjpnda will lose modi fights from bengaluru south",0.0
72,not modi then who from opposition opposition leaders intent clear but dont understand why they are failing their attempt why not vote for modi they are not telling people what they will when come into power,1.0
73,modi great his opponents generally are selfish idiots who keep attacking his governance skill modi doing great for 3040 yrs you tell what will you give oppo know after years modi rule that can wonders this stupid world created dishonest,-1.0
74,can pit more pictures and videos hindu extremist crime just years but use coz ppl are taken over storm modi and rss terror,1.0
75,vote kar narendra modi appeals everyone during tweetstorm ,0.0
76,modi mother elected more khans would killed ,1.0
77,last time you paid loan some entrepreneurs named vijay maalya and nirav modi whose number this time please check next list,0.0
78,rahul doesnt make false promises like modi has always delivered whatever has been promised you may check his track record you can count him ,-1.0
79,kitna jalte tum modi your tweet shows your jealousy towards our great prime minister modi ,1.0
80,centre state govts working together make india tbfree 2025 ,0.0
81,where ever rgis going through out the length breadth the country such the reception for him masses india just love him modi all other leaders bjp are just match,1.0
82,mad sandip singh have some sense javed akhtar could have called narendra modi producer sandip ssingh credit row entertainment news the indian express ,-1.0
83,thanks modi porn sites are banned,1.0
84,did modi eat beef biryani and sleep asaduddin owaisi ,0.0
85,voted for modi last time but never again economy screwed hate ideology being propagated need not rahul but any one other than modi the next few weeks will tell there way bjp will get majority the propagandas only social media,-1.0
86,congress fed biryani terrorists modi government fed them bullets and bombs yogi adityanath ,0.0
87,open your eyes not see any critic modi cong exculding these mongers there vast indai like called bharat modis concern security praise worthy but his autocratic norm denying each and every allegation like kimjong its painful sorrowful too regards,-1.0
88,requesting all stop using services they are giving favor big people like vijay malya nivav modi and taking money from all like nonscene charges,0.0
89,this face doesn’ haunt you condemn the abduction girls but they’ alive and wel also recorded message still our personally ordered action unlike modi who treats muslims just vote bank,1.0
90,sharam karodesh ghotale bech khaega tumhara just because modi youth have taken interest political issues youth are better judge the right and wrong ,1.0
91,dont forget petrol prices have risen ₹ modi government when gulf prices were going down ाेशबचा ,-1.0
92,thought petta was the most antibjp movie recent times  ,1.0
93,"election live blog met sapna choudhary yesterday want her campaigning for manoj tiwari
",1.0
94,superbly summarizedjai hind vande mataramagain modi sarkar ,1.0
95,"country prospers when the women the country are leading the forefront are supported every endeavour their lives modi govt focussed policies where women have been enabled with the power empower themselves and the nation
via namo app",0.0
96,sabbash mera vote for peppermit abvp,0.0
97,yogi adityanath hold 100 rallies seek votes for narendra modi amit shah ,0.0
98,from the very beginningmodi doing wada faramoshi you dont believe take example used say giving lakhs every indian and after years governance failed fulfill his promise ,-1.0
99,modi politics hate modiji loves india modiji want make new india corruption free terror free india hate not nature modiji yes modiji hates only enemies our country terrorists destroying terrorists camp hatedont defame our humane kind pure honest,1.0
100,why limited here are other prefixes for twitter that perhaps more accurately capture the state the citizens ,1.0
101,yogi adityanath takes dig congress saharanpur candidate imran masood ‘saharanpur also has the soninlaw azhar masood people have decide they want person who speaks the language masood azhar modi’ protégé who treading the path development ,0.0
102,every bank company head chowkidhar protect the institution fear modi chowkidar tsunami making all the opposition frenzy had the bank chowkidar performed duty well then mallaya nirav modi wouldnt have lootedsonia looted bcoz mms was weak chowkidar,-1.0
103,people india are fed the incompetency modi govt their blatant misuse power rampant corruption misgovernance and overt lies have damaged the country,-1.0
104,modi government against corruption mob worried protect their loot will send behind bars comes the dreams looters including kejriwal ,-1.0
105,according nomination papers irani who destroyed career and life remember modi made her education minister via feeds ,0.0
106,modi left his year old wife and returned her rss walay sab gay hain ,1.0
107,shi kha yadav who can forget modi contest from seats 2014,0.0
108,mere bhai mai bhi 2010 graduate hucongress kon rojgaar faila rakha thabhai chor hai only bjp only modi for strong nation,-1.0
109,modi came power because five yrs ago the youth india were takenin his promise create jobsyr fast forward five yrs the present modi has his name lost jobs 45yrhigh unemployment ,1.0
110,not think like that the dream once again the modi government will come,0.0
111,whoa has any other actor made such strong supportive statement for modi ,1.0
112,dont judge modi and his band fake chowkidhars who are bloodthirsty and hate mongers they have talibanized the indian mindsets ,-1.0
113,"brahminnon brahmin may baad karna chahiyeour focuss should getting modi elected again
other wise antihindu guys will keep persecuting hindus even india
anyway even know the caste varda bhai but now donnot focus caste",1.0
114,vote kar narendra modi appeals everyone during tweetstorm via ,0.0
115,vote kar appeals everyone during tweetstorm via namo app ,0.0
116,agree with you was unrequired was kinda uncomfortable for her too she must thinking this was unexpected idk what say has shown enough solidarity now they should get back their normal lives  wish someone makes such offer narendra modi lol,1.0
117,"funny after dowing two planes endian air chief was replaced and after detection every endian sub near pakistani waters admiral replaced 
modi should look mirror and look for replacement becoming our agent like adnan sami destroying endia from within ",1.0
118,modi move forward are with you,0.0
119,why this election looking like modi versus nothing swarajya ,0.0
120,you are with modi you are with india you are against modi you are anti india yes agree idea who this gentleman but speaks with conviction and clarity ,0.0
121,ppl pakistan should never trust anyone who’ hand covered with blood muslims modi that person,0.0
122,only this the solution fight with modi wave ,0.0
123,the first term prime minister won promise but the second term will have won performance not even narendra modi exception this,1.0
124,hey have already pledged support for modi you also believe him use this link pledge your vote ,0.0
125,the name throwing out modi rule the task independent communist assertion abandoned will lead liquidation the movement,0.0
126,used bjp money visit japan singapore usa for yrs and left bjp when modi asked how tdp spend bjp moneyexp details yrs political experience use increased pension dwacra yuvanestam schemes just before elections win votes,1.0
127,only modi this time,0.0
128,next song sung ,0.0
129,hurrah welcome for chinook multi role helicopter really proud modi for right steps make strong nation urge people walk matching disciplined steps like fauji with modi for development and flying indian tiranga all our planets,1.0
130,kunal kamra pretentious chutiya modi did more work the last five years than the braincells you have lost since your birth while smoking weed,1.0
131,only narendra modiji vote kar narendra modi appeals everyone during tweetstorm via ,0.0
132,cow please fight elections for graffiti mocking modi appears bjp fails find candidates bengal ,-1.0
133,shabana azmi takes makers modi biopic says javed akhtar’ name put ‘deliberately mislead public’ ,0.0
134,proud our priminister modi,1.0
135,what about halala whr whole family fucks poor woman den physically and mentally handicap kids are born out due genetic depression dont worry abt progress through time think abt religion still 7th century mindset,-1.0
136,achhe din vikas black money jobs the only thing found post2014 new india ➡ modi lies ,-1.0
137,when will see your tweet for justice for you are blind fear modi rss bjp,-1.0
138,will see more such attacks hindus modi supporters ,1.0
139,are rajput and will not vote for modi the cheapest india,0.0
140,modi once again  ,0.0
141,also home nirav modi vijay malaya etc etc ,0.0
142,this the only chance history independent india propel into economy due mainly reforms time the dynasty ruled were just now yrs lets reach for the stars ,1.0
143,rahul wise enough deny the absolute majority modi nda make aap cong deal and that’ the best for both the country kejriwal allow modi swee delhi with then finished for next delhi assembly too,1.0
144,vote for modi only ,0.0
145,thats modi magic ghochu,1.0
146,modi lotus bjp symble become soil every comman men voters reach every hoouses booths voters victims armed forces fmly for poll19 ,0.0
147,weak state capacity exacerbated excessive accountability because the nation always election mode fair modi did champion simultaneous elections but couldn’ get the opposition’ support comments needed what gurcharan das says here,1.0
148,,0.0
149,why not ask them vote for modern india modi why let even single vote waste make nda stronger centre nota,-1.0
150,modi will endup mad manlike hitler mussolini pinochet nero stalin,-1.0
151,obc pass general log pass rrb rpf constable cut off 2019 anusaryr modi hatao,1.0
152,modi teli obc because his upbringing and mindset can chowkidar had there been his kids they too would have become chowkidar gatekeeper,0.0
153,vote kar narendra modi appeals everyone during tweetstorm via namo app ,0.0
154,"politickle29 aisaa hai stages ोै ा aspiration kuch you bhi karna hai
inspiration exampull from modi
respiration  becomes lifebreath like modis jeevanshailee way life hindooizhm",0.0
155,"dear modi please through uploa ded link posted doordarshan india youtube about holi celebration from santiniketan
",0.0
156,voting for non bjp parties would take country into forever underdeveloped these corrupt would forever spoil future next gen vote for modi alone ,-1.0
157,sapna chaudhary dancer but sonia gandhi was not bar dancer she was working bar maid per research done her which means she was waitress she was more like modi modi chaiwala she was daruwali,1.0
158,malnutrition india and constituencies among worst affected mallikarjun kharge’ gulbarga fared worst malnutrition indicators among highprofile constituencies thiruvananthapuram best ,-1.0
159,seems delirious can understand summer hai oopar election bhi modi will act against lynchers  saal kahan the bhaisaab ,0.0
160,your called comparison modi with imran clearly displays the quality raajdarbaree ness you,1.0
161,india needs leader like rahul gandhi not liar like narendra modi ,0.0
162,where your hunainty when mulsim are being killed india kashmir now your humanity awaken our gov have taken action already dont worry its not modi sarkar,-1.0
163,ahead global target centre and the state governments are working together make india tbfree 2025 asserts modi ,0.0
164,even after having share seats delhi assembly fears and look for option tie modi fear clearly seen ,1.0
165,wah super but simple convey general public about achievements thanks modi saab,1.0
166,now its turn just care about your country your minorities pakistan not modis india ,0.0
167,"documents reveal modi and javadekars war indias environment
controversial amendments environmental laws and procedures were sought ",1.0
168,everyone known even you not known how speak politicals line innocents life hunting objections the world topmost popular may known you modi like kids help fillful normals heart ,1.0
169,door door campaign karyakartas bardowali mondal ward favour our canditate @ pratima bhoumik bar phir modi sarkar bjp zindabad ,0.0
170,all chor thug scamsters corrupts trying stop modi resume their business corruption,0.0
171,"but what chowkidar chor
and everyone say modi hai mumkinhai
",0.0
172,not alone evks once asked what amma and modi were doing hotel for mins didnt even have respect for their age this due the arrogance that comes from knowing the media under their control and they will never scrutinised like others,-1.0
173,tshirt problem the writing modi there thing called election campaign which every party does their own way ,1.0
174,bjp receipt for disaster there one combined opposition candidate against the chowkidaar tadipar party they will back their task selling tea gali good throw bjp out noway they can win opposition parties aap congress maya akhilesh mamta bjd combine out modi,1.0
175,congress time what modi has says now also same thing destroyed indian institution same congress point both are using ,0.0
176,floor leader akbaruddin owaisi ive seen twitter chowkidar narendra modihe should also mention chowkidar his aadhaar card passportwant not chaiwalapakodewalaif modi ,0.0
177,“cow please fight elections for ” graffiti mocking modi appears bjp fails find candidates bengal ,-1.0
178,all nationalists support modi,0.0
179,vote for educated decent leaders dont for corrupt criminals yaar you always speak against ,-1.0
180,why are you hell bent manoj tiwari just her photos came with priyanka dont you have enough candidates celebrities for campaigning reel life celebrity mentality strange modi jis developmental work his team efforts are more than enough bjp might not need sapna,1.0
181,are baap baap every one tell gandhi family rich modi family rich,1.0
182,sorry doc people didnt buy his dream but the convenient avenue offered lynchers castiest and religious bigots dont think indians dream for their imagination they are already above someone caste hierarchy and thats all they want ,-1.0
183,yawnn tell this drunkard then that modi also guarding her mother brother herself and her husband,0.0
184,like your way thinking but really just simple that women have rights because there are female deities,1.0
185,‘this election fight for the soul india’ ,0.0
186,with modi all his drawbacks atleast know what are for but with rahul mahaghatbandhan are surely for maha mess,1.0
187,analysis indian air chief accepted defeat still weak not capable responding defending modi jis corruption rafale makng strong case for purchasng rafale free tea for pilots india need have tea pakistan cost mig21,1.0
188,have all these qualities modi and more strong leadership,1.0
189,study reveals modi engaged sachin tendulkar and amitabh bachchan twitter increase visiblity ,0.0
190,our narendra modi ordered indian air force take action within days pulbama attack after permission what were done indian air force see here ,1.0
191,man bharun aal also without modi ,0.0
192,song ,0.0
193,chowkidhar only for rich men did you see any chowkidhar gaurding poor house but you can find chowkidhar nirav modi house lalit modi house mallaya house,-1.0
194,for rafale landmodi needed contract will scrapped and awa see euro,0.0
195,trying prove your loyalty modi seems indian muslims have been trying that well don’ seem make any difference though still getting beaten their own homes and asked pakistan keep trying though may get lucky ,1.0
196,modi urges noted personalities spread voter awareness ,0.0
197,only rahul gandhis politics love can defeat the modi politics hate its time vote for love over hate ,-1.0
198,"youth will vote for modi all friends are youths
all will vote for modi",0.0
199,travesty modi’ crook facts can’ suppressedreality comes out speak for itself ,0.0
200,final days modi government adani project jharkhand becomes indias first power sector sez via ,1.0
201,reason for demonetization primarily detection black money stoppage terrorism after failure changed reason digital india even that failed too now curious see what modijaitley cooks after failure merger decision ,-1.0
202,modi for behtar life crooks ,0.0
203,can promise what can delivered epf pension universal health care nationalisation primary education drinking water comprehensive panindia solid waste management policy please dont tell what modi didnt tell what you can ,1.0
204,prior modi govt took over poor people didnt access toilet crores women used cook lighting wood crore poor were left out banking sector18000 villages didnt electricity modi govt changed all this crores poor including muslims have benefitted,-1.0
205,years ago our beloved took oath take all the corrupted ministers and make india great guess what just did now all the anti indians are jealous and scared because going reelected soon modi will always win the best,1.0
206,isn’ modi’ majoritarian hate based politics and his obsession with hindu nationalism that divides our plural nation enough reason determine your vote ,-1.0
207,under modi there such thing cabinet system governance just barks orders and thats ,0.0
208,"sir think more than name yogi seems reminded his utterences like doing boti boti modi
this type language definitely terrorist ",1.0
209,modi govt’ efforts bear fruits malnutrition india down years ,-1.0
210,sir wat did till now act strongly toi read just told the officials this thing should not happen agn this acting strong according warning action gvin our lessons modi ensures ryt action ryt time,1.0
211,takes look whether the leaders bjp and congress will venture south how crony capitalism still thrives and meet candidate who promising households ten litres brandy every month via ,1.0
212,"dear thanks for the appreciation
definitely win the 2019 election serve the nation congress free ",1.0
213,why picked chairman the devious aadhaar isnt his babyhe was just the face given upa2 during its term for aadhaar poised for return now chairing committee formed during modi govt with report due shortly after the next govt ,-1.0
214,ा िु ी ीं ै look our faces don’ you see the courage and grit face our father modi ,0.0
215,sir you should also ask whether these were really made refer abp viral sach whether modi promise crore jobs per year ,1.0
216,vote for modi ,0.0
217,yes want again modi sarkar,0.0
218,such ppl the reasonour and his family face filthy words from opposition sensitive time elections they must shut their mouth work more public grievances but inko fark kye padta hai gaali dain bhukte modi,-1.0
219,"centre state govts working together make india tbfree 2025 narendra modi
",0.0
220,final days modi government adani project jharkhand becomes indias first power sector sez this will help adani save billion annually excellent story ,1.0
221,one the comment from hardcore modi bhakt when shared postcard editor was arrested for sharing fake news now know why postcard editor was arrested becuz was speaking the truth was proindia liers how long will your lie sustain truth out the open,-1.0
222,report card how modi has fared leader govt and political leader ⚡jai bhagwan goyal ,0.0
223,has come new meanings nationalism hindu and supporter modi and antinational who doesnt praise the govt initiatives,1.0
224,luv this its awesomemodi chai rocks,0.0
225,maybe could because hes educated and could more responsible for the people india and will understand the youngsters more which the modi doesnt seems,1.0
226,master stroke well done prime minister narendra modi worlds biggest electric car manufacturer confirms well enter india 2019 stated and reconfirmed elon musk ceo founder tesla motors the following oneofthebiggest …,0.0
227,east west modi best,1.0
228,and will made write about how muslim women are empowered wearing hijab burqa nikah halala child marriage and how gods job please the husband modi hatred making them lose the larger perspective,0.0
229,every thing looks good tweet for modi except the hashtag,1.0
230,when someone asks random question economy schemesyojanas adaniambani modi dhruv tatti ,-1.0
231,share the optimism ratan tata agree modi the leader need for taking india forward this critical juncture take pride being indian first resonates with most citizens jai hind,1.0
232,let tell you north karnataka out constituencies will dominated bjpgulbarga central karnataka davangere shivamogga chitradurga and ballary will clean sweep for bjp considering modi wave and dominance lingayat community,1.0
233,ghanta better bring some good leaders are fed with bjp but when see rahul gandhi then think modi much better choice,1.0
234,demon calls narendra modi demon the definitely more than just human being demi god,1.0
235,"modi govts slashing indias education budget clear indicator that they dont care for indias future
congress president shri the other hand has ensured the increase the budget gdp
this the future india deserves",-1.0
236,think hindus should back off and let them suffer for their own miseries they live dieget rapedshould not our problem unless someone asks for help when they are quite with such repressive actsy should hindus bother about them let them rot say,1.0
237,"professors and researchers from jnu bhu launch academics for namo campaign support modi
",0.0
238,why just ten there 100 reasons vote for modi and bjp party where every leader equally contributed and commited build new india better india and modi’ team invincbleit’ countrys fortune have leader like modiit’ country wil win modi wins,1.0
239,narendra modi more brainy than all the drswamys the world put together modi also dharmic and has humane heart something one wishes swamy shall have someday the line that divides chanakya and shakuni dharma modi chanakya and chowkidar but drswamy,1.0
240,let state govt handle law and order why drag modi resolve street fights ,-1.0
241,per affidavits 2004 chowkidar smriti was graduate then 2017 she become just 12th grade pass may given back avoid over qualification what chowkidar modis education now degree entire political science still with him given back ,0.0
242,"indias rank the world happiness index out 159 countries the modi years
2013 rank 111
2014 rank 118
2017 rank 122
2018 rank 133
2019 rank 140 ",-1.0
243,are already calling all modis thief scamster,0.0
244,yes nincompoop just nazi bjp politicising balakot raids test have stopped terror raids our citizens maam how educated person like nirmala live with gross brazen corruption lynchings your party cadre lies from modi shah every day ,1.0
245,rozi roti sawaal hai modiji his blood his dna shud read modichalisa now  meanwhile rajdeep shud also take the cases strongly which bjp rss men killed and love jihad that happens down south  show some class journalism rajjo,1.0
246,the big five the media companies that the modi government must scrutinise fulfill its promise ending crony capitalism ,0.0
247,knew earlier itself  they had taken this photo from modis rally ,0.0
248,secondly refer thee boom fact check website know whether modi promise putting lakh everyone’ account ,0.0
249,dear son manak much good role media making modi hero for his honesty honest person not chormahachor,1.0
250,ofcourse mein bhi choukidaar apne desh have proud first choukidaar narendra modi,1.0
251,letter friend who happens modi supporter via ,0.0
252,"also tharoor can add additional challenge clause self satisfaction rat against lion
that modi must win more votes than tharoor the ward where tharoor residing 2014 was kejri with similar challenge and kejri lost varanasi modi for lakhs votes",1.0
253,after jordan india the worlds most intolerant country you ever feel any shame shushma and modi  ,1.0
254,still looking you produce some autocratic monger norm that really hampered india how turned kimjong hitler wake dear this india what most powerful politician nehru most daring indira and most seat winner rajiv dare not most hated modi will ,1.0
255,also chowkidar our torchbearer chowkidar modi ,0.0
256,can’ distinguish between bagga and modi these days both are selling shirts,0.0
257,seems have more confidence modi than usual bhakts ,1.0
258,will good for nation modi becomes forever,1.0
259,"there are two possibilities here
1as you said managing
2no substantial evidences against got bail
even the first case got bail when are togetherso can manage its very clear choice urs ",1.0
260,the country needs this fascist modi cant allowed continue loot indians need govt under that will work for common man,-1.0
261,india prime ministerconfirm modi exchanged greetings with imran congress abp news ,0.0
262,"surgical strike credit goes modi
nirbhaya case handling credit goes delhi police and the blame for the rape goes sheila dixit upa gets credit either for faster police action nor does get any credit for having silently worked heal the wounds
",1.0
263,congress has always attempted empower people giving right information work food education modi ruthlessly snatched away these rights ,-1.0
264,good read ,1.0
265,friends dont waste time tts can convince more neutral voters vote for bjpmodi the same time instead,1.0
266,"hating modi should declared kind disease disabilityif the way has contributed recently the nation and still doingdoes not incite even bit love respect your heart for himthere something terribly wrong with you biological level
",1.0
267,"news breaks
film maker modi biopic accused sexually exploited minority metabhi modiji life inspired hua hai jab 36gun milate hain
tabhi koi biopic likhane film banane sochta hai modiji did earlier his chelafilm maker now following same path",1.0
268,ratan tata lavishes praise modi says will deliver new india ,1.0
269,shabana azmi takes makers modi biopic says javed akhtar’ name put ‘deliberately mislead public’ bollywood ,0.0
270,modi for ,0.0
271,dont want pappu run our nation want leader like modi ✌️,0.0
272,wish modi too wins with land sliding victory india,1.0
273,renee  absolutely right about ndtv everything truth which have written about also like zee news coz whatever shows shows fact wont false say ndtv antimodi chennai  jai hind jai bharat ,-1.0
274,shameful national conference leader calls narendra modi quotterroristquot all those who have links with hafeez sayeed and pakistan will call terrorist,0.0
275,youtube video you might like modi and bangladeshi jointly unveil several projects bangladesh,0.0
276,across the aisle want managers not just watchmen the indian express via ,0.0
277,"very safe for choors called chowkidars promises chor chowkidar jaitely
now fears chori wherever you want including rafal alibaba modi with his choors are always guide protect you
inturn all deliver modi share chant modi chalisa",1.0
278,apke yar modi message our people celebrate pakistan day believe time begin comprehensive dialogue with india address resolve all issues esp the central issue kashmir forge new relationship based peace prosperity for all our people,1.0
279,haha congress going gaga over this after looting from air land east west land currency they are accusing bjp looting template this the change modi brought ,1.0
280,bjps election rally modi west meerut march ,0.0
281,the insolvency and bankruptcy code the second most important economic reform the writes here’ why didn’ take the top spot ,1.0
282,asshole bahujan radical marxist grow brain knowunderstand that congress bjp represent the same fucking caste oppressors that your ilk wasnt dalitbahujanadivasis who have ruled this country for the past years and ask chowkidar modi ,-1.0
283,growth story indian economy during modi regime reflects serious concerns gst collections below the estimated target investment fell year low last quarter unemployment rate year high indias rank down 140 happiness index report ,-1.0
284,compete with modi you and like minded people built aap now kicked out from that party whats your opinion about that,0.0
285,bjps chanakya work this very ruthless attitude the modishah duo ❤,-1.0
286,thats the truth but not the whole truth the whole truth even bjp has been working cong agenda via their mole the party and tons molebureaucrats that modi didnt fire day despite repeated warnings from swamy bjpaap are just shorter spellings congress,1.0
287,incompatible with life patients struggle with modi governments policy nutrition ,0.0
288,bjp now furious bcs your design reap big electoral dividend out pulwama bursted off due failure modi smartness imran nvr exptd that will retaliate the day light abi captive that’ war expected happens don’ make war for elections,1.0
289,agree with arun kumarsushil modi and nitish harmful for swarn,0.0
290,congratulations madam hope win biggest margin and make next govt stronger,1.0
291,modi for greater india our vote goes modi,1.0
292,must little more vocal ram mandir art 370 etc voting bjp with heavy heart for want better alternative,1.0
293,ratan tata lavishes praise narendra modi says will deliver new india ,1.0
294,rajasthan governor kalyan singh aligarh 23rd march all are bjp workers and want the bjp emerge victorious want that once again modi should become the important for the country ,1.0
295,and kindly dont compare modi jee butcher gujrat and imran khan,1.0
296,cji ban elecation and paper currency when there was independence only years lease signed fake queens victoria and elizabeth and her mafia govt fake pms nehru fake chaiwal modi and amit shah scams nuclear and rafale and demonetisation looted wwi mahabharat ,-1.0
297,modi sleeps with his mother,0.0
298,"icing the cake
varanasi loksabha seat against modi aap gives congress congress gives gives bsp bsp candidate joins bjp  too much fun ",1.0
299,"rahul gandhi life goals are simple become india
⬇️
grow potatoes grabbed land
⬇️
make gold modi jealous  ",0.0
300,appeals everyone during tweetstorm via namo app ,0.0
301,are cleaning the defecation four generation from nehru rahul how can visible fast this senseless lady speaks our forefathers has led best their life and this generation suffering because modi,1.0
302,this guy truely something else ,1.0
303,the star campaigner myth bjp lost more than assembly constituencies where narendra modi campaigned during recent 5state polls ,1.0
304,under modi and bjp its hindunationalist india sweetiepie ,0.0
